session,time,strategy,coin,event,ticker,side,contracts,price,multiplier,fee,cost,payout,pnl,result,strike,btc_price,final_value,balance_after,model_prob,edge,why,tau,yes_bid,yes_ask,mkt_prob
20260920_222952,2026-09-20T22:45:02,Late,SOL,SETTLED,KXSOL15M-26SEP210145-45,UP,35,0.1,9.62,0.23,3.87,0.0,-3.87,no,111.9588,111.91,111.9007,994.43,0.151,0.04,,-3,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:02,Late,SOL,SETTLED,KXSOL15M-26SEP210145-45,UP,10,0.16,6.25,0.1,1.7,0.0,-1.7,no,111.9588,111.91,111.9007,994.43,0.233,0.064,,-3,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:02,Scalper,SOL,SETTLED,KXSOL15M-26SEP210145-45,UP,10,0.2,5.0,0.12,2.12,0.0,-2.12,no,111.9588,111.91,111.9007,1002.76,0.254,0.042,,-3,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:02,Scalper,SOL,SETTLED,KXSOL15M-26SEP210145-45,UP,23,0.07,14.08,0.11,1.74,0.0,-1.74,no,111.9588,111.91,111.9007,1002.76,0.112,0.036,,-3,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:02,Scalper,SOL,SETTLED,KXSOL15M-26SEP210145-45,UP,132,0.06,15.87,0.55,8.87,0.0,-8.87,no,111.9588,111.91,111.9007,1002.76,0.103,0.036,,-3,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:02,Scalper,SOL,SETTLED,KXSOL15M-26SEP210145-45,UP,28,0.09,11.36,0.16,2.62,0.0,-2.62,no,111.9588,111.91,111.9007,1002.76,0.134,0.04,,-3,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:02,Favorite,SOL,SETTLED,KXSOL15M-26SEP210145-45,DOWN,76,0.64,1.56,1.23,49.87,76.0,26.13,no,111.9588,111.91,111.9007,1029.0,0.725,0.069,,-3,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:02,Anti Value,SOL,SETTLED,KXSOL15M-26SEP210145-45,DOWN,2,0.83,1.2,0.02,1.68,2.0,0.32,no,111.9588,111.91,111.9007,1006.63,0.746,-0.094,,-3,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:02,Anti Late,SOL,SETTLED,KXSOL15M-26SEP210145-45,DOWN,3,0.92,1.09,0.02,2.77,3.0,0.23,no,111.9588,111.91,111.9007,1026.65,0.849,-0.073,,-3,0.0,0.001,0.001
20260920_222952,2026-09-20T22:45:02,Anti Late,SOL,SETTLED,KXSOL15M-26SEP210145-45,DOWN,1,0.87,1.15,0.01,0.88,1.0,0.12,no,111.9588,111.91,111.9007,1026.65,0.767,-0.111,,-3,0.0,0.001,0.001
